Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Utilities/10000/fromList,1.4033559479264228e-4,1.396593258788622e-4,1.4121053061209133e-4,2.5899727390636284e-6,1.9180136553696297e-6,3.7583485012582245e-6
Utilities/10000/toList,6.53961972870231e-5,6.485609883136374e-5,6.676102386930094e-5,2.638054352547212e-6,9.300480171186176e-7,4.491959137393042e-6
Utilities/100000/at',2.46988131338066e-4,2.4589032320407247e-4,2.490415815491426e-4,4.8486011231639386e-6,2.7475832927102254e-6,8.013890766057713e-6
Utilities/100000/insert,4.0179052939886395e-4,4.010477247746414e-4,4.0263693376469637e-4,2.674001661218656e-6,2.228438624148798e-6,3.324451238555031e-6
Utilities/100000/delete,2.3654003139768278e-4,2.360868085607635e-4,2.371133660753429e-4,1.6369702982980137e-6,1.3064525700245244e-6,1.9793423470395194e-6
Utilities/100000/lookup,2.415778389985774e-4,2.4106973044284443e-4,2.42211587834062e-4,1.9562106559698047e-6,1.62271703981848e-6,2.4770154503463773e-6
Utilities/100000/lookup',2.441901726495694e-4,2.437035725718278e-4,2.44917850276408e-4,1.961154438665316e-6,1.3122404164403525e-6,2.9162733496488727e-6
Utilities/100000/lookupIndex,2.2742450224771843e-4,2.2685357412423544e-4,2.281949473064906e-4,2.197053979371573e-6,1.6221638883101923e-6,3.0438841423414026e-6
Utilities/100000/null,5.256206365623004e-9,5.1410210099267526e-9,5.350948485709337e-9,3.507554113264968e-10,2.415782622744773e-10,5.516018520199517e-10
Utilities/100000/length,5.285985759087751e-9,5.0800616173255325e-9,5.53127240872829e-9,6.957806438653174e-10,5.379718478162429e-10,8.565918570133407e-10
Utilities/100000/size,5.349775781111994e-9,5.1658216662577436e-9,5.509077967974695e-9,5.549010504321772e-10,4.5612130223267765e-10,6.998662503189665e-10
Utilities/100000/member,2.2863005148264907e-4,2.2833576888897487e-4,2.2898613101115592e-4,1.1223178173089061e-6,9.386917368305265e-7,1.38391103067165e-6
Utilities/100000/findWithDefault,2.4251087520074917e-4,2.4211815339244072e-4,2.4292776307680721e-4,1.395874396801164e-6,1.21477839012363e-6,1.675926505926277e-6
Utilities/100000/upsert,1.0016555904244517e-3,9.989110427143484e-4,1.0058843425255815e-3,1.140013863871747e-5,8.927583023319387e-6,1.542725394240647e-5
Utilities/100000/alter,6.700042580418115e-4,6.686363973208017e-4,6.720403604697353e-4,5.497835567094349e-6,4.222948854261761e-6,7.708088748140355e-6
Utilities/100000/alterM,6.630126429893313e-4,6.619649603081506e-4,6.644867372500015e-4,4.191331325934773e-6,3.3392203185700095e-6,5.391202606707149e-6
Utilities/100000/union,2.8302500370732874e-3,2.500072885465377e-3,3.2332218842458706e-3,1.28561907622965e-3,1.0611809019194173e-3,1.9331866458196375e-3
Utilities/100000/difference,3.3861856422043243e-3,3.334389547819083e-3,3.525465840838219e-3,2.448136507354012e-4,1.3189869294030128e-4,4.6164070086629065e-4
Utilities/100000/intersection,5.912762498167072e-3,5.706381519087606e-3,6.249841569829586e-3,7.540752058335345e-4,5.317186779409622e-4,1.1140286294506932e-3
